                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     19,                 1.3314,                0.79138,                 1.0884,                0.80234,                0.77092,                0.83361,                0.45162,                 1.4285,                0.84946,                 1.1313,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.3273,                0.79264,                 1.0855,                 0.8071,                0.77435,                0.83752,                0.45881,                 1.4156,                0.87336,                 1.1063,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.3323,                 0.7969,                 1.0949,                0.79013,                0.78499,                0.84075,                0.45247,                 1.4464,                0.79578,                 1.1192,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.3194,                0.78884,                 1.0878,                0.77732,                0.76927,                 0.8259,                0.43755,                 1.4345,                0.86917,                 1.1087,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.3171,                0.78471,                 1.0899,                0.79975,                0.78277,                0.83724,                0.45228,                 1.4311,                0.86566,                 1.1166,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.3229,                0.78659,                 1.0841,                0.83782,                0.77693,                0.85564,                0.47201,                 1.4029,                 0.7858,                 1.0974,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.3072,                 0.7772,                 1.0852,                0.82298,                0.77682,                0.84723,                0.45982,                  1.418,                 1.6925,                 1.1078,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.3163,                0.77742,                 1.0845,                0.81221,                0.78408,                0.84447,                0.46392,                 1.4016,                0.90786,                 1.1009,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.3116,                0.77069,                 1.0838,                0.82749,                0.77439,                0.85057,                0.47706,                 1.3896,                 1.0776,                 1.0919,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.3101,                0.76714,                  1.082,                0.79642,                0.79627,                0.84629,                0.46692,                 1.4174,                0.80752,                 1.0968,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.2892,                0.75289,                 1.0703,                0.82134,                0.78533,                0.85753,                0.47026,                 1.4071,                0.81232,                    1.1,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.2824,                0.74721,                 1.0778,                0.80811,                0.79843,                0.84986,                0.47313,                 1.3866,                0.78463,                 1.0935,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.2807,                0.75146,                 1.0698,                0.80701,                0.77903,                0.84411,                0.46326,                 1.4129,                0.78967,                 1.0972,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.2746,                0.74598,                 1.0636,                0.80463,                0.77693,                0.84234,                0.46557,                 1.4198,                 1.0709,                 1.1072,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.2814,                0.73903,                 1.0709,                0.80776,                0.78863,                0.85225,                 0.4733,                 1.3945,                0.77526,                 1.0985,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.2855,                0.74108,                 1.0699,                0.82412,                0.78772,                0.85116,                0.47564,                  1.381,                0.80879,                 1.0845,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.2723,                 0.7291,                 1.0625,                0.82162,                0.79548,                0.85477,                0.47687,                 1.3922,                0.81028,                 1.0958,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.2677,                0.73056,                  1.064,                 0.8358,                0.78696,                0.85376,                 0.4755,                 1.4029,                0.75491,                 1.1008,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.2669,                  0.733,                 1.0606,                0.81411,                0.78582,                0.84923,                0.47101,                 1.4086,                0.75009,                 1.0968,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.2634,                0.73165,                 1.0574,                0.80759,                0.79034,                0.85329,                 0.4768,                 1.3963,                0.75381,                 1.0955,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.2726,                0.73091,                 1.0652,                0.80692,                0.79664,                0.85694,                0.47201,                 1.3967,                0.76184,                  1.095,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.2561,                0.71715,                 1.0529,                0.81662,                0.79922,                0.86092,                0.48098,                 1.3811,                0.74777,                 1.0918,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.2594,                0.71725,                 1.0579,                0.82787,                0.78613,                0.85118,                  0.471,                 1.4019,                0.79616,                 1.1016,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.2598,                0.72482,                  1.056,                 0.8215,                0.78485,                0.85169,                0.47377,                 1.3897,                0.75378,                 1.0963,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.2435,                0.70712,                 1.0517,                0.83271,                0.79237,                0.85459,                 0.4759,                 1.3905,                0.76461,                 1.0914,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.2434,                0.69949,                 1.0526,                0.82958,                0.79738,                0.86307,                0.48739,                 1.3784,                0.74253,                 1.0929,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.2533,                0.71488,                 1.0565,                0.82751,                0.78886,                0.85754,                0.47905,                 1.3935,                0.74716,                 1.0972,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.2411,                0.70872,                  1.047,                0.82098,                0.78618,                0.84966,                0.47682,                 1.3949,                0.74285,                 1.1033,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.2421,                0.71012,                 1.0515,                0.82844,                 0.7909,                0.86064,                 0.4901,                 1.3806,                0.73616,                 1.0944,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.2355,                0.69976,                 1.0497,                0.79579,                0.79378,                0.84732,                0.46847,                 1.4103,                0.74793,                 1.1055,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.2309,                0.69841,                 1.0445,                0.81497,                0.79584,                0.85427,                0.48137,                 1.3872,                0.73123,                 1.0977,             0.00089134,             0.00089134,             0.00089134
                     50,                  1.219,                0.68602,                 1.0416,                0.80593,                0.80488,                0.85033,                0.47853,                 1.3944,                0.77623,                 1.1008,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.2263,                0.69557,                 1.0416,                0.81637,                0.79188,                0.85474,                0.47756,                 1.3892,                0.74027,                 1.0984,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.2137,                0.68298,                 1.0365,                0.81355,                0.80764,                0.85424,                0.47845,                  1.392,                 0.7315,                 1.1037,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.2161,                0.68355,                  1.039,                0.81525,                0.80543,                0.85582,                0.48058,                 1.4003,                0.73945,                  1.105,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.2127,                0.68157,                 1.0372,                 0.8165,                0.79822,                0.85695,                0.48622,                 1.3823,                0.72297,                 1.0951,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.2084,                0.67968,                 1.0389,                0.82807,                 0.7937,                0.86073,                0.48887,                 1.3781,                0.72909,                 1.0932,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.2127,                0.67703,                 1.0407,                0.82228,                0.78114,                0.85013,                0.47946,                 1.3874,                0.72656,                 1.0953,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.2072,                0.67346,                  1.032,                0.83192,                0.80085,                0.86624,                0.48962,                 1.3668,                0.71908,                 1.0849,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.1982,                0.66615,                 1.0283,                0.82767,                0.79698,                0.85605,                0.48039,                 1.3877,                0.71516,                 1.1005,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.1956,                0.66881,                 1.0311,                0.83281,                0.78987,                0.85534,                0.48275,                 1.3852,                0.71359,                 1.1016,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.1888,                0.65989,                 1.0261,                0.83169,                0.79441,                0.85831,                0.48793,                 1.3817,                0.71353,                 1.1017,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.1867,                0.66045,                 1.0227,                0.83371,                0.81327,                0.86363,                0.49398,                   1.36,                0.72798,                 1.0857,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.1816,                0.65754,                 1.0209,                0.81884,                0.79858,                0.85617,                 0.4812,                 1.3961,                0.72003,                 1.1106,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.1799,                 0.6513,                 1.0236,                0.83054,                0.79939,                0.86276,                0.49352,                 1.3777,                0.71192,                  1.094,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.1729,                0.64946,                 1.0231,                0.83124,                0.78835,                0.85256,                0.48169,                 1.3833,                0.72212,                 1.0997,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.1775,                0.64986,                 1.0211,                0.83173,                0.78867,                0.85645,                0.48251,                 1.3999,                0.71634,                 1.1033,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.1645,                0.63584,                 1.0152,                0.83989,                0.79471,                0.85925,                0.48716,                 1.3815,                 0.7107,                 1.0943,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.1745,                0.64663,                 1.0187,                0.83217,                0.79952,                0.85725,                0.48803,                 1.3828,                0.71437,                 1.0994,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.1488,                 0.6298,                 1.0098,                0.83043,                0.80808,                0.86441,                0.49112,                 1.3793,                0.70317,                 1.0986,             0.00057778,             0.00057778,             0.00057778
                     69,                  1.157,                0.63009,                 1.0123,                0.82846,                0.79595,                0.85748,                0.48504,                 1.3927,                0.71004,                  1.099,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.1642,                  0.635,                 1.0166,                0.83191,                 0.7996,                0.86009,                0.49134,                 1.3756,                 0.7007,                 1.0909,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.1427,                0.61853,                  1.009,                0.83569,                0.80636,                0.86195,                0.49264,                 1.3765,                0.70463,                 1.0986,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.1315,                0.62376,                 1.0075,                0.82732,                0.80098,                0.85498,                0.48596,                 1.3749,                0.70493,                 1.0962,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.1458,                0.62405,                 1.0039,                0.83168,                0.79766,                0.85766,                0.49017,                 1.3738,                0.70369,                 1.1048,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.1415,                0.61923,                 1.0047,                0.83095,                0.79674,                0.85729,                0.49046,                 1.3741,                0.70207,                 1.1011,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.1385,                0.62857,                 1.0069,                0.84603,                0.79967,                0.86287,                0.49153,                 1.3797,                0.69944,                 1.1008,             0.00046226,             0.00046226,             0.00046226
                     76,                  1.143,                0.61804,                  1.009,                0.84192,                0.79926,                0.85701,                0.48457,                 1.3786,                0.70542,                 1.0995,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.1301,                0.61127,                 1.0005,                0.82473,                0.80576,                0.86033,                0.48758,                 1.3766,                 0.6979,                 1.0999,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.1303,                0.61148,                 1.0032,                0.82988,                0.79855,                0.86046,                 0.4838,                 1.3758,                0.70246,                 1.0963,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.1257,                0.60895,                 1.0033,                0.83069,                0.80721,                0.86069,                0.48669,                 1.3852,                0.69924,                 1.1105,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.1213,                0.61152,                 1.0003,                0.83176,                  0.803,                0.85401,                0.48326,                 1.3931,                0.71103,                 1.1071,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.1235,                0.60953,                0.99906,                0.83791,                0.80878,                0.85934,                0.48799,                 1.3818,                0.70375,                 1.1033,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.1184,                  0.604,                0.99618,                0.82799,                0.80759,                0.85796,                0.48793,                 1.3727,                0.69491,                 1.1021,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.1361,                0.61426,                 1.0063,                0.83802,                0.80029,                0.86124,                0.48846,                 1.3741,                0.69249,                 1.0967,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.1094,                0.60226,                0.99258,                0.83181,                0.80545,                0.86385,                0.49107,                 1.3783,                0.68894,                 1.1018,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.1147,                0.59405,                0.99586,                 0.8179,                0.80854,                0.85759,                 0.4857,                 1.3884,                0.70283,                 1.1119,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.1085,                0.59474,                0.99185,                0.82381,                 0.8016,                0.85488,                0.48275,                 1.3948,                0.70496,                 1.1128,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.0913,                0.58251,                0.99107,                0.83164,                0.81133,                0.86008,                0.48982,                 1.3782,                0.69621,                 1.1085,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.0981,                0.58929,                0.99045,                0.83638,                0.80435,                0.85944,                0.48872,                 1.3834,                0.69971,                 1.1062,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.1007,                0.58486,                0.99093,                0.83325,                0.79794,                0.85642,                0.48542,                 1.3936,                0.69795,                 1.1111,             0.00023121,             0.00023121,             0.00023121
                     90,                   1.09,                0.58098,                0.98913,                0.82908,                0.81015,                0.86033,                0.49044,                 1.3824,                0.70126,                 1.1036,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.0905,                0.55806,                0.97171,                0.82687,                0.80929,                0.85432,                0.48002,                 1.4069,                0.70828,                 1.1268,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.0637,                0.54291,                0.96568,                0.82861,                0.80749,                0.85961,                0.48993,                 1.3902,                0.69899,                 1.1134,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.0538,                0.53381,                0.95564,                0.83198,                0.79885,                0.85466,                0.48762,                 1.3877,                0.69647,                 1.1127,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.0553,                0.53353,                0.95814,                0.83017,                0.80209,                0.85881,                0.48847,                 1.3927,                0.69859,                 1.1144,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.0454,                0.52728,                0.96095,                0.83164,                0.80557,                0.85823,                0.48999,                 1.3881,                0.69397,                 1.1141,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.0438,                0.52803,                0.96177,                0.82772,                0.80808,                0.85968,                0.48945,                 1.3873,                0.69479,                   1.11,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.0427,                0.52907,                0.96031,                0.82805,                0.80641,                 0.8563,                0.48641,                 1.3968,                0.69909,                 1.1179,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.0342,                0.51844,                0.95519,                 0.8295,                0.80988,                0.86068,                0.49237,                 1.3917,                0.70022,                 1.1111,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.0346,                 0.5202,                0.95461,                0.82717,                0.81495,                0.86066,                0.49067,                 1.3868,                0.69224,                 1.1104,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.0241,                0.51367,                0.94897,                0.82773,                 0.8079,                0.85873,                0.48997,                 1.3912,                0.69685,                 1.1142,             4.9677e-05,             4.9677e-05,             4.9677e-05
