                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2692,                0.73396,                 1.0656,                0.81147,                0.78497,                0.85331,                0.47721,                 1.4135,                0.82624,                 1.0993,             0.00055251,             0.00055251,             0.00055251
                      2,                 1.3229,                0.79138,                 1.0865,                0.80885,                0.78079,                0.83559,                0.44781,                 1.4469,                0.85168,                 1.1188,              0.0010972,              0.0010972,              0.0010972
                      3,                  1.373,                0.84359,                 1.1129,                0.78062,                0.78373,                0.83036,                0.44381,                 1.4589,                0.89856,                 1.1284,              0.0016309,              0.0016309,              0.0016309
                      4,                  1.402,                0.87214,                 1.1235,                0.78244,                0.73668,                0.79018,                0.39835,                 1.5159,                 1.7928,                 1.1627,              0.0016175,              0.0016175,              0.0016175
                      5,                  1.379,                0.85806,                 1.1122,                0.77561,                0.73863,                0.80711,                0.40947,                 1.4882,                 3.1878,                 1.1449,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.3918,                0.86621,                 1.1214,                0.80891,                0.74365,                0.81716,                0.43325,                 1.4582,                0.92196,                 1.1193,               0.001601,               0.001601,               0.001601
                      7,                 1.3906,                0.86467,                 1.1174,                0.76149,                0.75416,                0.81299,                0.42213,                 1.4875,                0.93347,                 1.1426,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.3686,                0.83885,                 1.1139,                 0.7953,                0.76061,                0.82678,                0.43027,                  1.457,                 1.0343,                 1.1251,               0.001568,               0.001568,               0.001568
                      9,                 1.3908,                 0.8564,                 1.1252,                0.79148,                0.75198,                0.81831,                0.42988,                 1.4713,                 2.5686,                 1.1285,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.3713,                 0.8388,                 1.1091,                0.81004,                0.76138,                0.82736,                 0.4461,                 1.4442,                 1.3413,                 1.1135,               0.001535,               0.001535,               0.001535
                     11,                  1.359,                0.83993,                 1.1025,                0.80306,                0.77387,                0.83619,                0.45769,                 1.4463,                0.90058,                 1.1173,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.3654,                0.83979,                 1.1063,                0.77234,                0.75641,                0.81209,                0.42692,                 1.4643,                0.84598,                 1.1347,               0.001502,               0.001502,               0.001502
                     13,                 1.3646,                 0.8216,                 1.1061,                0.80193,                0.76436,                0.82587,                0.43158,                 1.4789,                0.96767,                 1.1342,              0.0014855,              0.0014855,              0.0014855
                     14,                  1.365,                 0.8232,                  1.109,                0.80065,                0.74773,                0.81787,                 0.4458,                 1.4603,                 2.5941,                 1.1236,               0.001469,               0.001469,               0.001469
                     15,                 1.3568,                0.82006,                 1.1006,                0.80303,                0.76168,                0.83244,                0.44865,                  1.433,                0.90146,                 1.1024,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.3487,                0.80941,                 1.0983,                0.80118,                 0.7855,                0.84154,                0.44997,                 1.4401,                0.88143,                 1.1151,               0.001436,               0.001436,               0.001436
                     17,                 1.3572,                0.80671,                 1.0991,                0.81914,                0.78106,                0.84694,                0.45719,                 1.4125,                0.82261,                 1.0979,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.3256,                0.80058,                 1.0905,                0.80182,                 0.7667,                0.83168,                0.45653,                 1.4317,                 2.6778,                 1.1229,              0.0014029,              0.0014029,              0.0014029
