                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                 1.4292,                0.90912,                 1.1387,                 0.7864,                0.77254,                0.82474,                 0.4417,                 1.4342,                0.88896,                  1.107,              0.0010729,              0.0010729,              0.0010729
                     21,                  1.423,                0.90439,                  1.144,                0.78097,                0.76088,                0.81936,                0.43344,                 1.4473,                0.89305,                 1.1124,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.4157,                0.90005,                 1.1341,                0.77958,                0.76883,                0.82866,                0.44121,                 1.4298,                0.87459,                 1.1175,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.4108,                0.88497,                 1.1371,                0.77769,                0.76361,                0.81423,                0.42138,                  1.465,                0.94443,                 1.1278,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.4154,                0.88837,                 1.1338,                0.80663,                0.78708,                0.84722,                0.46897,                  1.383,                0.82467,                 1.0891,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.3914,                   0.87,                 1.1266,                0.80232,                0.76974,                0.83249,                0.45422,                  1.412,                0.83586,                 1.0966,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.3942,                0.86571,                 1.1236,                0.80601,                0.74922,                0.82501,                0.44984,                 1.4313,                0.85143,                 1.1189,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.3891,                0.86363,                  1.123,                0.80461,                0.76109,                 0.8349,                0.45626,                 1.4019,                0.82284,                 1.0925,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.3785,                0.85344,                 1.1191,                0.79138,                0.77049,                0.83336,                0.44873,                 1.4359,                0.82965,                    1.1,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.3608,                0.83971,                 1.1059,                0.82369,                0.76846,                0.84842,                0.46431,                 1.3924,                0.81738,                 1.0868,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.3502,                0.83196,                 1.1099,                0.77728,                0.77227,                0.82377,                0.44465,                  1.407,                 1.0085,                 1.1003,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.3416,                0.81699,                 1.1022,                0.81334,                0.77915,                 0.8516,                0.46931,                 1.3845,                0.86767,                 1.0808,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.3386,                0.82194,                 1.0967,                0.79233,                0.77633,                0.84315,                0.46301,                 1.3852,                0.83912,                  1.082,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.3346,                0.80815,                 1.0991,                0.81423,                0.78958,                0.85901,                0.47721,                 1.3702,                0.77058,                 1.0852,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.3298,                0.79556,                 1.0938,                 0.8086,                0.79136,                  0.852,                0.47174,                  1.389,                0.77443,                 1.0901,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.3208,                0.79479,                 1.0898,                0.82134,                0.77916,                0.85494,                0.47736,                 1.3806,                0.77345,                 1.0831,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.3082,                0.78671,                 1.0868,                0.81847,                0.79079,                  0.859,                0.47936,                 1.3757,                0.78025,                 1.0857,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.3068,                0.77509,                 1.0834,                0.82861,                0.79231,                0.86034,                0.48687,                 1.3753,                0.75782,                 1.0842,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.3026,                0.77579,                 1.0767,                0.82716,                0.79333,                0.86053,                0.48624,                 1.3596,                0.75139,                 1.0758,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.2991,                0.77447,                 1.0813,                 0.8112,                0.78027,                0.85075,                0.47215,                  1.376,                0.78258,                 1.0807,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.2844,                0.75482,                 1.0677,                0.82237,                0.78816,                0.85645,                0.48228,                 1.3711,                0.76541,                 1.0764,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.2785,                0.73621,                 1.0643,                0.80678,                0.79247,                0.85107,                0.47307,                 1.3856,                 0.7552,                 1.0897,             0.00037974,             0.00037974,             0.00037974
                     42,                  1.261,                0.72005,                  1.056,                0.82606,                0.78733,                0.85839,                 0.4861,                 1.3635,                0.75411,                 1.0714,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.2518,                0.70335,                 1.0441,                0.81533,                0.78559,                0.85284,                0.48095,                 1.3803,                0.76317,                 1.0832,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.2418,                 0.6931,                 1.0414,                0.82362,                0.78864,                0.86216,                0.49021,                 1.3575,                0.74817,                 1.0751,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.2329,                0.68977,                 1.0355,                0.81779,                0.80698,                0.86595,                0.49175,                 1.3651,                0.73521,                 1.0786,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.2263,                0.67681,                 1.0349,                0.82382,                 0.8022,                0.86449,                0.49102,                 1.3594,                 0.7222,                 1.0755,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.2141,                0.67151,                 1.0324,                0.84054,                0.79155,                0.87128,                0.49465,                 1.3659,                0.72026,                 1.0852,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.2047,                0.66481,                   1.03,                0.82716,                0.80455,                0.86869,                0.49664,                 1.3569,                0.72052,                  1.081,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.1906,                 0.6503,                 1.0207,                0.83526,                0.80453,                0.87066,                0.49571,                 1.3687,                0.72031,                 1.0831,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.1903,                0.64624,                 1.0209,                 0.8313,                0.80547,                0.87127,                0.49591,                 1.3577,                0.71336,                 1.0796,             8.2683e-05,             8.2683e-05,             8.2683e-05
