                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8704,                 2.1693,                 1.3654,                0.60142,                0.58557,                0.59393,                 0.2678,                 1.7082,                 4.1209,                 1.2372,             0.00055251,             0.00055251,             0.00055251
                      2,                 1.7132,                 1.4915,                 1.2907,                0.59104,                0.54008,                0.56547,                0.25518,                 1.7611,                 3.4647,                 1.3067,              0.0010862,              0.0010862,              0.0010862
                      3,                 1.6983,                  1.342,                 1.2812,                0.64171,                0.60308,                0.64191,                0.28852,                 1.6349,                 1.7446,                 1.2052,               0.001598,               0.001598,               0.001598
                      4,                 1.6804,                 1.2624,                 1.2672,                0.68145,                0.64492,                0.69797,                0.33309,                 1.6107,                 4.7139,                   1.22,               0.001568,               0.001568,               0.001568
                      5,                 1.6388,                 1.1842,                 1.2444,                0.73125,                0.66829,                 0.7326,                0.35343,                 1.5764,                 1.5699,                 1.2055,               0.001568,               0.001568,               0.001568
                      6,                 1.6069,                 1.1473,                 1.2282,                0.74487,                0.71316,                0.75225,                0.36383,                 1.5142,                 1.6386,                  1.162,               0.001535,               0.001535,               0.001535
                      7,                 1.5833,                 1.1115,                 1.2189,                0.75201,                0.72608,                0.77071,                0.38884,                 1.5213,                 1.2673,                 1.1539,               0.001502,               0.001502,               0.001502
                      8,                 1.5586,                 1.0781,                  1.206,                0.75407,                0.71555,                0.77731,                0.38875,                 1.5301,                 1.2017,                 1.1734,               0.001469,               0.001469,               0.001469
                      9,                 1.5582,                 1.0605,                 1.2096,                0.76395,                0.72389,                 0.7892,                0.40496,                 1.5213,                 1.0884,                 1.1671,               0.001436,               0.001436,               0.001436
                     10,                 1.5488,                 1.0519,                 1.1966,                0.73338,                0.71001,                0.74951,                0.37329,                 1.5558,                 1.7748,                 1.1975,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.5155,                 1.0372,                 1.1783,                0.77548,                0.72687,                0.79091,                0.40602,                 1.5192,                 1.5456,                 1.1495,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.5138,                 1.0251,                 1.1838,                0.77749,                0.72667,                0.80254,                0.42177,                 1.4756,                0.98419,                 1.1385,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.5023,                0.98406,                 1.1757,                0.78576,                0.74222,                0.80389,                0.41276,                 1.4881,                 0.9685,                 1.1313,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.4957,                0.98591,                 1.1753,                0.76796,                0.74279,                0.80667,                0.42185,                 1.4765,                0.94275,                   1.13,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.4781,                0.97437,                 1.1631,                0.77937,                0.72915,                 0.8015,                0.41452,                 1.4987,                 1.0607,                 1.1282,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.4813,                0.96974,                 1.1604,                0.77406,                0.74852,                0.81401,                0.42184,                 1.4578,                0.88785,                 1.1226,              0.0012049,              0.0012049,              0.0012049
                     17,                  1.468,                0.94534,                 1.1558,                0.78988,                0.74077,                0.81326,                0.42283,                 1.4517,                 2.3304,                 1.1228,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.4362,                0.93952,                 1.1455,                0.79546,                0.76743,                  0.829,                0.44534,                 1.4058,                0.87808,                 1.1055,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.4399,                0.91351,                 1.1397,                0.78121,                0.75425,                0.81664,                0.43401,                 1.4635,                 1.2803,                 1.1384,              0.0011059,              0.0011059,              0.0011059
